tag,parent
цүнх,гоёл
хувцас,
хэрэгсэл,
өмд,хувцас
жинс,өмд
цай,
том,эмэгтэй
даашинз,хувцас
хуримын,даашинз
эрэгтэй,хувцас
пиджак,
бугуйн,цаг
сэлбэг,
гутал,хувцас
хэрэгсэл,аялалын
тоглоом,
пальто,хувцас
эмэгтэй,хувцас
гоо сайхан,
гэрийн,хувцас
дотуур,хувцас
цүнх,
зүүлт,гоёл
эмэгтэй,гутал
эрэгтэй,гутал
хүүхдийн,хувцас
хүүхдийн,гутал
машин,авто
мотоцикл,авто
багаж,
ээмэг,гоёл
гутал,спорт
үсний,гоёл
даруулга,үсний
утас,компютер
бөгж,гоёл
гинж,гоёл
спорт,цүнх
үүргэвч,уулын
түрийвч,цүнх
арьсан,түрийвч
шил,гоёл
нарны,шил
асаагуур,тамхи
zippo,асаагуур
нүүрний,гоо сайхан
будаг,нүүрний
үнэртэй ус,гоо сайхан
будаг,сормуусны
уртасгагч,сормуусны
хумсны,гоо сайхан
тос,хумсны
будаг,хумсны
үслэг,хувцас
нүдний,гоо сайхан
сүүдэрлэгч,нүдний
нэхмэл,цамц
цув,хувцас
савхин,куртка
ноосон,цамц
жилетк,хувцас
пальто,хувцас
куртка,хувцас
үндэсний,хувцас
хятад,үндэсний
нимгэн,куртка
даавуу,материал
сөдөн,куртка
цамц,хувцас
костюм,хувцас
нэхмэл,цамц
майк,хувцас
торон,цамц
сорочки,цамц
юбка,хувцас
савхин,куртка
унтлагын,өмд
дотуур,хувцас
хөхний,дотуур
даруулга,хөхний
бэлхүүс,хувцас
баригч,бэлхүүс
оймс,хувцас
өндөр,гутал
богино,гутал
сандаал,гутал
шаахай,гутал
углааш,гутал
кет,гутал
гүйлтийн,гутал
бэлтгэлийн,гутал
шипи,гутал
теннисны,кет
богино,юбка
сөдөн,өмд
нимгэн,куртка
майк,хувцас
поло,цамц
савхин,өмд
үндэсний,хувцас
ажлын,хувцас
чөлөөт,өмд
хормогч,хувцас
усны,хувцас
дүрэмт,хувцас
бэлэг,
синтепон,куртка
комбинзон,хувцас
мөлхөвч,хувцас
баривч,хувцас
нярайн,оймс
малгай,хувцас
татуурга,
трико,хувцас
галбиржуулагч,трико
халат,хувцас
ээжийн,хувцас
хөхүүл,ээжийн
спорт,гутал
цайны,аяга
аяга,гал тогооны
майхан,аялал
майхан,аяны
данх
лонх
гадна,гэрэл
хамгаалах,хэрэгсэл
түргэний,хэрэгсэл
дагалдах,хэрэгсэл
таяг,спорт
хутга,багаж
гудас,гэр ахуй
загасчлал,хэрэгсэл
мишок,аялал
гадна,тавилга
тавилга,гэр ахуй
төхөөрөмж,спорт
уулын,спорт
свитер,хувцас
шуб,хувцас
LED,төхөөрөмж
залгуур,цахилгаан
олон,залгуур
галын,багаж
дохио,багаж
хяналтын,камер
шугам,цахилгаан
хязгаарлагч,цахилгаан
утас,цахилгаан
холбогч,цахилгаан
залгуур,цахилгаан
хайрцаг,цахилгаан
аккумлятор,цахилгаан
схем,электрон
хувиргагч,цахилгаан
зай,цахилгаан
нарны,зай
хөргөгч,гэр ахуй
хөлдөөгч,гэр ахуй
плитка,цахилгаан
зурагт,гэр ахуй
театр,гэр ахуй
компьютер,
ширээний,компьютер
DIY,процессор
ногоон,цай
